nds,de,title
He het en Boom ümhackt in ’n Goorn.,Er hat einen Baum im Garten gefällt.,
De Hund wees ut ’e Puust.,Der Hund war außer Atem.,
Ik heff in miene Goorn en Appelboom plant.,Ich habe in meinem Garten einen Apfelbaum gepflanzt.,
Ik bün in ’n verkehrte Buss stegen.,Ich bin in den falschen Bus gestiegen.,
He keek mi in ’t Gesicht.,Er sah mir ins Gesicht.,
Mayuko ehr Droom is wohr worrn.,Mayukos Traum wurde wahr.,
He bröch uns trurige Narichten.,Er brachte uns traurige Nachrichten.,
Ik verstoh keene Diutsch.,Ich verstehe kein Deutsch.,
"Wenn achter Flegen Flegen flegen, flegen Flegen Flegen achterher.","Wenn hinter Fliegen Fliegen fliegen, fliegen Fliegen Fliegen hinterher.",
"Schasst ook de Beste wesen, wenn dor ans nüms is!","Du kannst auch der Beste sein, wenn da niemand anderes ist.",
De Mann hett den Düvel sien Seel verköfft.,Der Mann verkaufte dem Teufel seine Seele.,
Schall ik di en Koort teken?,Soll ich dir eine Karte zeichnen?,
Disse japaansche Satz is unöversettbor.,Dieser japanische Satz ist unübersetzbar.,
Dor sünd enkelte Bööd op ’n Seed.,Es sind einige Boote auf dem See.,
Ik deed mi lever scheden laten.,Ich würde mich lieber scheiden lassen.,
Dit Book is nicht to verköpen.,Dieses Buch ist nicht zu verkaufen.,
Ik bün op ’n Weg.,Ich bin auf dem Weg.,
Warr ik wedder gahn künnen?,Werde ich wieder gehen können?,
Snackst du Georgsch?,Sprichst du Georgisch?,
Ik wull em anropen. Gest du siene Telefoonnummer?,Ich will ihn anrufen. Hast du seine Telefonnummer?,
Brian nöhm en poor Rosen.,Brian nahm ein paar Rosen.,
Woveel Böker hest du denn?!,Wie viele Bücher hast du denn?!,
Un dien Süster?,Und deine Schwester?,
Du hess di teemlich verännert.,Du hast dich sehr verändert.,
"Wenn du Freden wullt, denn maak di för ’n Krieg praat.","Wenn du Frieden willst, bereite dich auf den Krieg vor.",
He hätt datt Woter mit siene Foot raakt.,Er hat das Wasser mit seinem Fuß berührt.,
Wat schall datt för Edinburgh bedüden?,Was wird das für Edinburgh bedeuten?,
Dat fallt mi nich licht.,Das fällt mir nicht leicht.,
He füll in ’n Stroom.,Er fiel in den Fluss.,
De Oost is en Blangenstroom von de Elv.,Die Oste ist ein Nebenfluß der Elbe.,
Ik bün trurig.,Ich bin traurig.,
Dat Speel wees traag un langwielig.,Das Spiel war langsam und langweilig.,
Miene Puckel deit weh.,Mein Rücken tut weh.,
Mien Puckel deit weh.,Mein Rücken schmerzt.,
Se het em en Hemd kofft.,Sie hat ihm ein Hemd gekauft.,
Se is uns Naversch.,Sie ist unsere Nachbarin.,
De lüttste Eerddeel is Australien.,Der kleinste Kontinent ist Australien.,
De lüttste Eerddeel is Australien.,Der kleinste Erdteil ist Australien.,
Se will dat Geld nich antonehmen.,"Sie weigerte sich, das Geld anzunehmen.",
Giff op!,Gib es auf!,
Giff op!,Gib auf!,
In de drüdden Stünn hebbt wi Fransch.,In der dritten Stunde haben wir Französisch.,
Steerns sünd gewaltig grote Plasmabäll.,Sterne sind gigantische Plasmabälle.,
"De Nacht wees so düüster, meist so düüster as ehr Hart.","Die Nacht war so schwarz, fast so schwarz wie ihr Herz.",
"He weet ich, wat he doot schall.","Er weiß nicht, was er tun soll.",
Ehr Muskeln sünd stiev.,Ihre Muskeln sind steif.,
Dor is en groot Lock in ’e Wand.,Da ist ein großes Loch in der Wand.,
De Wecker geit tein Minuten vüör.,Der Wecker geht zehn Minuten vor.,
Wi brukt Füer.,Wir brauchen Feuer.,
Anfangt wi op Siet 30 an.,Fangen wir auf Seite 30 an.,
Waorüm kümmst du uns nech beseuken?,Warum kommst du uns nicht besuchen?,
He is Maandag na New York fohrt.,Er ist am Montag nach New York gefahren.,
Heff ik wat verpasst?,Habe ich etwas verpasst?,
Ken hool op to snacken un füng an to eten.,Ken hörte auf zu sprechen und fing zu essen an.,
Dat is uns Huus.,Das ist unser Haus.,
Fatt dat nich an.,Fass es nicht an.,
De Tog is jüst afföhrt.,Der Zug ist soeben abgefahren.,
Wat för ’n Soort Äten magst du giern?,Was für ein Essen magst du gerne?,
Ken un Meg sünd all beid mien Frünnen.,Ken und Meg sind beide meine Freunde.,
Wat för en Nettkiekers bruukst du?,Was für einen Browser benutzt du?,
Wat för en Nettkieker bruukst du?,Welchen Netznavigator verwendest du?,
Wat för en Nettkiekers bruukst du?,Welchen Netzgucker gebrauchst du?,
Normalerwies geit se Klock negen toslapen.,Meistens geht sie um neun Uhr schlafen.,
Ik eet nicht.,Ich esse nicht.,
Ehr Plaan lett beters as miene.,Ihr Plan erscheint mir besser als meiner.,
Deit mi leeg.,Verzeihung.,
Deit mi leeg!,Tut mir leid!,
Dröff ik düsse Appelsien äten?,Kann ich diese Orange essen?,
Dröff ik düsse Appelsien äten?,Kann ich diese Apfelsine essen?,
Hest du Melk?,Hast du Milch?,
Noch en lütt bäten.,Noch ein kleines bisschen.,
Se hätt allen kaputtmaakt!,Sie hat alles kaputt gemacht!,
Nu is de Aven ut.,Jetzt ist der Ofen aus.,
De Sommer is vörbi.,Der Sommer ist vorbei.,
De Sommer is vörbi.,Der Sommer ist zu Ende.,
Vergeet dat. Dat is de Möh nich weerd.,"Vergiss es, das ist die Mühe nicht wert.",
Ik bün in Paris.,Ich bin in Paris.,
De Born is dröög.,Der Brunnen ist trocken.,
Deit jo dat leeg?,Tut es euch leid?,
Deit jo dat leeg?,Tut dir das leid?,
Fingers weg von de Schokelaad!,Finger weg von der Schokolade!,
Tom het Mary op ’n Weg na School dropen.,Tom hat Mary auf dem Schulweg getroffen.,
Tom seed nix.,Tom sagte nichts.,
Vonwegen den Storm kunnen wi datt misste Kind ich söken.,Aufgrund des Sturmes konnten wir das vermisste Kind nicht suchen.,
De Dänserinnen harr sick opfleet.,Die Tänzerinnen hatten sich hübsch angezogen.,
"Ik weet nech, wannehr he trüggkummt.","Ich weiß nicht, wann er zurückkommt.",
